02,Albacete
03,Alicante
03,Alacant
04,Almería
01,Araba
01,Álava
33,Asturias
05,Ávila
06,Badajoz
07,Illes Balears
07,Islas Baleares
08,Barcelona
48,Vizcaya
48,Bizkaia
09,Burgos
10,Cáceres
11,Cádiz
39,Cantabria
12,Castellón
12,Castelló
13,Ciudad Real
14,Córdoba
15,A Coruña
15,La Coruña
16,Cuenca
20,Gipuzkoa
17,Girona
17,Gerona
18,Granada
19,Guadalajara
21,Huelva
22,Huesca
23,Jaén
24,León
25,Lleida
25,Lérida
27,Lugo
28,Madrid
29,Málaga
30,Murcia
31,Navarra
32,Ourense
32,Orense
34,Palencia
35,Las Palmas
36,Pontevedra
26,La Rioja
37,Salamanca
38,Santa Cruz de Tenerife
40,Segovia
41,Sevilla
42,Soria
43,Tarragona
44,Teruel
45,Toledo
46,Valencia
46,València
47,Valladolid
49,Zamora
50,Zaragoza
51,Ceuta
52,Melilla
